,id,commonName,borough,latitude,longitude,NbBikes,EmptyDocks,NbDocks
143,BikePoints_501,Cephas Street, Bethnal Green,51.522561,-0.054883,10,10,20
144,BikePoints_502,Bonner Gate, Victoria Park,51.53341,-0.049591,19,2,21
145,BikePoints_503,Cleveland Way, Stepney,51.520893,-0.051394,16,16,32
146,BikePoints_504,St. John's Park, Cubitt Town,51.496454,-0.009506,11,18,29
147,BikePoints_505,Ackroyd Drive, Bow,51.520398,-0.026768,1,22,23
148,BikePoints_506,Bell Lane, Liverpool Street,51.517475,-0.075855,2,21,23
149,BikePoints_507,Clarkson Street, Bethnal Green,51.528692,-0.059091,13,17,30
150,BikePoints_508,Fournier Street, Whitechapel,51.519362,-0.074431,0,16,16
151,BikePoints_509,Fore Street, Guildhall,51.517842,-0.090075,3,0,3
152,BikePoints_510,Westferry DLR, Limehouse,51.509303,-0.025996,36,4,40
153,BikePoints_511,Sutton Street, Shadwell,51.511066,-0.053558,4,26,30
154,BikePoints_512,Pritchard's Road, Bethnal Green,51.532091,-0.06142,23,4,27
155,BikePoints_513,Watney Market, Stepney,51.514222,-0.055656,12,35,47
156,BikePoints_514,Portman Square, Marylebone,51.516204,-0.155525,3,14,17
157,BikePoints_515,Russell Gardens, Olympia,51.500088,-0.211316,18,8,26
158,BikePoints_516,Chrisp Street Market, Poplar,51.5112,-0.014438,12,6,18
159,BikePoints_517,Ford Road, Old Ford,51.532513,-0.033085,13,4,17
160,BikePoints_518,Antill Road, Mile End,51.528224,-0.037471,9,18,27
161,BikePoints_519,Teviot Street, Poplar,51.518811,-0.011662,19,13,32
162,BikePoints_520,Bancroft Road, Bethnal Green,51.526041,-0.047218,9,8,17
163,BikePoints_781,Victoria & Albert Museum, South Kensington,51.495898,-0.173009,0,30,30
164,BikePoints_782,Halford Road, West Kensington,51.483911,-0.197609,13,6,19
165,BikePoints_783,Monier Road, Hackney Wick,51.540311,-0.02163,9,10,19
166,BikePoints_784,East Village, Queen Elizabeth Olympic Park,51.546326,-0.009935,18,15,33
167,BikePoints_785,Aquatic Centre, Queen Elizabeth Olympic Park,51.54094,-0.01051,52,1,53
168,BikePoints_786,Lee Valley VeloPark, Queen Elizabeth Olympic Park,51.549369,-0.015717,20,20,40
169,BikePoints_787,Timber Lodge, Queen Elizabeth Olympic Park,51.546805,-0.014691,25,8,33
170,BikePoints_788,Copper Box Arena, Queen Elizabeth Olympic Park,51.544909,-0.020542,29,0,29
171,BikePoints_789,Podium, Queen Elizabeth Olympic Park,51.538718,-0.011889,37,0,37
172,BikePoints_790,Stratford Station, Stratford,51.541793,-0.00481,28,3,31
173,BikePoints_792,Blackfriars Road, Southwark,51.505461,-0.10454,11,34,45
174,BikePoints_793,Cromer Street, Bloomsbury,51.528279,-0.119558,2,25,27
175,BikePoints_794,Victoria Rise, Clapham Common,51.461376,-0.147804,12,7,19
176,BikePoints_795,Euston Square Gardens, Euston,51.527068,-0.131861,2,27,29
177,BikePoints_796,Coram Street, Bloomsbury,51.524,-0.126409,1,27,28
178,BikePoints_797,Ossulston Street, Somers Town,51.5293,-0.128279,18,12,30
179,BikePoints_798,Birkenhead Street, King's Cross,51.530199,-0.122299,3,20,23
180,BikePoints_799,Kings Gate House, Westminster,51.497698,-0.137598,4,20,24
181,BikePoints_800,Sopwith Way, Battersea Park,51.481121,-0.149035,15,9,24
182,BikePoints_801,Lavington Street, Bankside,51.505224,-0.098031,11,26,37
183,BikePoints_802,Albert Square, Stockwell,51.47659,-0.118256,19,9,28
184,BikePoints_803,Southwark Street, Bankside,51.505409,-0.098341,2,21,23
185,BikePoints_804,Good's Way, King's Cross,51.534667,-0.125078,2,25,27
186,BikePoints_805,The Metropolitan, Portobello,51.520509,-0.200804,5,7,12
187,BikePoints_806,Handyside Street, King's Cross,51.53724,-0.124807,17,14,31
188,BikePoints_807,Bevington Road West, North Kensington,51.5212,-0.208888,0,24,24
189,BikePoints_808,Gauden Road, Clapham,51.464995,-0.130908,22,5,27
190,BikePoints_809,Lincoln's Inn Fields, Holborn,51.516277,-0.118272,5,26,31
191,BikePoints_810,Tate Modern, Bankside,51.506725,-0.098807,3,29,32
192,BikePoints_811,Westferry Circus, Canary Wharf,51.505703,-0.027772,5,30,35
193,BikePoints_812,Here East North, Queen Elizabeth Olympic Park,51.548731,-0.022606,16,12,28
194,BikePoints_813,New Spring Gardens Walk, Vauxhall,51.487807,-0.122759,23,13,36
195,BikePoints_814,Clapham Road, Lingham Street,51.471433,-0.12367,14,15,29
196,BikePoints_815,Lambeth Palace Road, Waterloo,51.500089,-0.116628,11,22,33
197,BikePoints_816,Here East South, Queen Elizabeth Olympic Park,51.546532,-0.020597,19,10,29
198,BikePoints_817,Riverlight South, Nine Elms,51.481335,-0.138212,18,5,23
199,BikePoints_818,Westminster Pier, Westminster,51.501513,-0.123823,18,20,38
200,BikePoints_819,Belvedere Road 2, South Bank,51.50621,-0.114842,10,28,38
201,BikePoints_820,Victory Place, Walworth,51.492807,-0.091938,4,13,17
202,BikePoints_821,Battersea Power Station, Battersea Park,51.483507,-0.147714,6,19,25
203,BikePoints_826,Allington Street, Victoria,51.496863,-0.142943,0,28,28
204,BikePoints_827,Cranmer Road, Stockwell,51.479601,-0.111471,16,7,23
205,BikePoints_828,Normandy Road, Stockwell,51.473874,-0.11258,21,9,30
206,BikePoints_829,Wynne Road, Stockwell,51.469217,-0.112686,20,5,25
207,BikePoints_830,Sidney Road, Stockwell,51.469202,-0.119022,19,6,25
208,BikePoints_831,St John's Crescent, Brixton,51.466232,-0.113179,24,0,24
209,BikePoints_832,Ferndale Road, Brixton,51.464019,-0.115781,18,4,22
210,BikePoints_833,Saltoun Road, Brixton,51.460232,-0.115375,35,6,41
211,BikePoints_834,Gas Holders, Battersea Park,51.477966,-0.147857,22,2,24
212,BikePoints_835,Farringdon Street, Holborn,51.516785,-0.104947,25,2,27
213,BikePoints_836,York Way, Kings Cross,51.541596,-0.125441,15,9,24
214,BikePoints_838,Fore Street Avenue, Guildhall,51.518093,-0.091401,24,16,40
215,BikePoints_839,Sea Containers, South Bank,51.508033,-0.106823,19,13,32
216,BikePoints_840,George Row, Bermondsey,51.498585,-0.068981,11,6,17
217,BikePoints_841,Tower Wharf, Bermondsey,51.500845,-0.074704,10,6,16
218,BikePoints_844,Canada Water Station, Rotherhithe,51.498439,-0.04915,26,6,32
219,BikePoints_845,Bermondsey Station, Bermondsey,51.497995,-0.063471,26,2,28
220,BikePoints_1,River Street , Clerkenwell,51.529163,-0.10997,10,9,19
221,BikePoints_2,Phillimore Gardens, Kensington,51.499606,-0.197574,31,4,35
222,BikePoints_3,Christopher Street, Liverpool Street,51.521283,-0.084605,11,24,35
223,BikePoints_4,St. Chad's Street, King's Cross,51.530059,-0.120973,7,15,22
224,BikePoints_5,Sedding Street, Sloane Square,51.49313,-0.156876,20,18,38
225,BikePoints_6,Broadcasting House, Marylebone,51.518117,-0.144228,10,12,22
226,BikePoints_7,Charlbert Street, St. John's Wood,51.5343,-0.168074,6,9,15
227,BikePoints_8,Maida Vale, Maida Vale,51.529857,-0.183486,22,10,32
228,BikePoints_9,New Globe Walk, Bankside,51.507385,-0.09644,0,17,17
229,BikePoints_10,Park Street, Bankside,51.505974,-0.092754,1,16,17
230,BikePoints_11,Brunswick Square, Bloomsbury,51.523951,-0.122502,5,21,26
231,BikePoints_12,Malet Street, Bloomsbury,51.52168,-0.130431,2,46,48
232,BikePoints_13,Scala Street, Fitzrovia,51.519914,-0.136039,6,15,21
233,BikePoints_14,Belgrove Street , King's Cross,51.529943,-0.123616,24,4,28
234,BikePoints_15,Great Russell Street, Bloomsbury,51.517727,-0.127854,4,25,29
235,BikePoints_16,Cartwright Gardens , Bloomsbury,51.526357,-0.125979,7,16,23
236,BikePoints_17,Hatton Wall, Holborn,51.521661,-0.109006,7,21,28
237,BikePoints_18,Drury Lane, Covent Garden,51.51477,-0.122219,3,25,28
238,BikePoints_19,Taviton Street, Bloomsbury,51.52505,-0.131161,11,19,30
239,BikePoints_20,Drummond Street , Euston,51.527326,-0.136052,6,17,23
240,BikePoints_21,Lansdowne Drive, Hackney Central,51.539834,-0.062806,16,6,22
241,BikePoints_22,Northington Street , Holborn,51.522264,-0.114079,0,18,18
242,BikePoints_23,Red Lion Square, Holborn,51.519435,-0.119123,12,8,20
243,BikePoints_24,British Museum, Bloomsbury,51.51908,-0.124678,8,33,41
244,BikePoints_25,Doric Way , Somers Town,51.528833,-0.13225,10,40,50
245,BikePoints_26,Ampton Street , Clerkenwell,51.52728,-0.118295,2,19,21
246,BikePoints_27,Bouverie Street, Temple,51.513821,-0.107927,7,26,33
